freq (Hz),v("/A" ?result "ac") (V)
94.80E6,92.31
95.10E6,92.93
95.40E6,93.55
95.70E6,94.18
96.00E6,94.81
96.30E6,95.45
96.60E6,96.09
96.90E6,96.74
97.20E6,97.40
97.50E6,98.06
97.80E6,98.73
98.10E6,99.40
98.40E6,100.1
98.70E6,100.8
99.00E6,101.5
99.30E6,102.2
99.60E6,102.9
99.90E6,103.6
100.2E6,104.3
100.5E6,105.0
100.8E6,105.8
101.1E6,106.5
101.4E6,107.2
101.7E6,108.0
102.0E6,108.8
102.3E6,109.5
102.6E6,110.3
102.9E6,111.1
103.2E6,111.9
103.5E6,112.7
103.8E6,113.5
104.1E6,114.3
104.4E6,115.1
104.7E6,116.0
105.0E6,116.8
105.3E6,117.7
105.6E6,118.5
105.9E6,119.4
106.2E6,120.3
106.5E6,121.2
106.8E6,122.1
107.1E6,123.0
107.4E6,123.9
107.7E6,124.8
108.0E6,125.8
108.3E6,126.7
108.6E6,127.7
108.9E6,128.6
109.2E6,129.6
109.5E6,130.6
109.8E6,131.6
110.1E6,132.7
110.4E6,133.7
110.7E6,134.7
111.0E6,135.8
111.3E6,136.9
111.6E6,137.9
111.9E6,139.0
112.2E6,140.1
112.5E6,141.3
112.8E6,142.4
113.1E6,143.5
113.4E6,144.7
113.7E6,145.9
114.0E6,147.1
114.3E6,148.3
114.6E6,149.5
114.9E6,150.8
115.2E6,152.0
115.5E6,153.3
115.8E6,154.6
116.1E6,155.9
116.4E6,157.2
116.7E6,158.6
117.0E6,159.9
117.3E6,161.3
117.6E6,162.7
117.9E6,164.1
118.2E6,165.6
118.5E6,167.1
118.8E6,168.5
119.1E6,170.0
119.4E6,171.6
119.7E6,173.1
120.0E6,174.7
120.3E6,176.3
120.6E6,177.9
120.9E6,179.6
121.2E6,181.2
121.5E6,182.9
121.8E6,184.7
122.1E6,186.4
122.4E6,188.2
122.7E6,190.0
123.0E6,191.9
123.3E6,193.7
123.6E6,195.6
123.9E6,197.6
124.2E6,199.5
124.5E6,201.5
124.8E6,203.6
125.1E6,205.6
125.4E6,207.7
125.7E6,209.9
126.0E6,212.1
126.3E6,214.3
126.6E6,216.5
126.9E6,218.8
127.2E6,221.2
127.5E6,223.6
127.8E6,226.0
128.1E6,228.5
128.4E6,231.0
128.7E6,233.6
129.0E6,236.2
129.3E6,238.9
129.6E6,241.6
129.9E6,244.4
130.2E6,247.3
130.5E6,250.2
130.8E6,253.1
131.1E6,256.1
131.4E6,259.2
131.7E6,262.4
132.0E6,265.6
132.3E6,268.9
132.6E6,272.3
132.9E6,275.7
133.2E6,279.3
133.5E6,282.9
133.8E6,286.6
134.1E6,290.4
134.4E6,294.2
134.7E6,298.2
135.0E6,302.3
135.3E6,306.4
135.6E6,310.7
135.9E6,315.1
136.2E6,319.6
136.5E6,324.2
136.8E6,328.9
137.1E6,333.8
137.4E6,338.8
137.7E6,343.9
138.0E6,349.2
138.3E6,354.6
138.6E6,360.2
138.9E6,365.9
139.2E6,371.9
139.5E6,378.0
139.8E6,384.2
140.1E6,390.7
140.4E6,397.4
140.7E6,404.3
141.0E6,411.5
141.3E6,418.8
141.6E6,426.5
141.9E6,434.3
142.2E6,442.5
142.5E6,451.0
142.8E6,459.7
143.1E6,468.8
143.4E6,478.2
143.7E6,488.0
144.0E6,498.2
144.3E6,508.8
144.6E6,519.8
144.9E6,531.3
145.2E6,543.3
145.5E6,555.8
145.8E6,568.8
146.1E6,582.5
146.4E6,596.8
146.7E6,611.8
147.0E6,627.5
147.3E6,644.0
147.6E6,661.3
147.9E6,679.6
148.2E6,698.8
148.5E6,719.1
148.8E6,740.6
149.1E6,763.4
149.4E6,787.5
149.7E6,813.2
150.0E6,840.5
150.3E6,869.7
150.6E6,900.8
150.9E6,934.2
151.2E6,970.1
151.5E6,1.009E3
151.8E6,1.051E3
152.1E6,1.096E3
152.4E6,1.145E3
152.7E6,1.199E3
153.0E6,1.257E3
153.3E6,1.322E3
153.6E6,1.393E3
153.9E6,1.473E3
154.2E6,1.561E3
154.5E6,1.661E3
154.8E6,1.773E3
155.1E6,1.902E3
155.4E6,2.050E3
155.7E6,2.221E3
156.0E6,2.423E3
156.3E6,2.662E3
156.6E6,2.952E3
156.9E6,3.307E3
157.2E6,3.750E3
157.5E6,4.315E3
157.8E6,5.048E3
158.1E6,6.009E3
158.4E6,7.247E3
158.7E6,8.678E3
159.0E6,9.815E3
159.3E6,9.838E3
159.6E6,8.731E3
159.9E6,7.308E3
160.2E6,6.071E3
160.5E6,5.108E3
160.8E6,4.373E3
161.1E6,3.806E3
161.4E6,3.362E3
161.7E6,3.006E3
162.0E6,2.716E3
162.3E6,2.475E3
162.6E6,2.273E3
162.9E6,2.102E3
163.2E6,1.954E3
163.5E6,1.825E3
163.8E6,1.712E3
164.1E6,1.612E3
164.4E6,1.524E3
164.7E6,1.444E3
165.0E6,1.373E3
165.3E6,1.308E3
165.6E6,1.249E3
165.9E6,1.196E3
166.2E6,1.146E3
166.5E6,1.101E3
166.8E6,1.059E3
167.1E6,1.021E3
167.4E6,984.7
167.7E6,951.3
168.0E6,920.1
168.3E6,890.9
168.6E6,863.6
168.9E6,837.9
169.2E6,813.7
169.5E6,791.0
169.8E6,769.5
170.1E6,749.1
170.4E6,729.9
170.7E6,711.6
171.0E6,694.2
171.3E6,677.7
171.6E6,662.0
171.9E6,647.1
172.2E6,632.8
172.5E6,619.1
172.8E6,606.1
173.1E6,593.6
173.4E6,581.6
173.7E6,570.1
174.0E6,559.1
174.3E6,548.5
174.6E6,538.3
174.9E6,528.5
175.2E6,519.1
