freq (Hz),v("/A" ?result "ac") (V)
95.10E6,93.04
95.40E6,93.66
95.70E6,94.28
96.00E6,94.91
96.30E6,95.55
96.60E6,96.19
96.90E6,96.83
97.20E6,97.48
97.50E6,98.14
97.80E6,98.80
98.10E6,99.47
98.40E6,100.1
98.70E6,100.8
99.00E6,101.5
99.30E6,102.2
99.60E6,102.9
99.90E6,103.6
100.2E6,104.3
100.5E6,105.1
100.8E6,105.8
101.1E6,106.5
101.4E6,107.3
101.7E6,108.0
102.0E6,108.8
102.3E6,109.5
102.6E6,110.3
102.9E6,111.1
103.2E6,111.9
103.5E6,112.7
103.8E6,113.5
104.1E6,114.3
104.4E6,115.1
104.7E6,115.9
105.0E6,116.8
105.3E6,117.6
105.6E6,118.5
105.9E6,119.3
106.2E6,120.2
106.5E6,121.1
106.8E6,122.0
107.1E6,122.9
107.4E6,123.8
107.7E6,124.7
108.0E6,125.6
108.3E6,126.6
108.6E6,127.5
108.9E6,128.5
109.2E6,129.5
109.5E6,130.5
109.8E6,131.5
110.1E6,132.5
110.4E6,133.5
110.7E6,134.5
111.0E6,135.6
111.3E6,136.6
111.6E6,137.7
111.9E6,138.8
112.2E6,139.9
112.5E6,141.0
112.8E6,142.1
113.1E6,143.2
113.4E6,144.4
113.7E6,145.6
114.0E6,146.7
114.3E6,147.9
114.6E6,149.1
114.9E6,150.4
115.2E6,151.6
115.5E6,152.9
115.8E6,154.1
116.1E6,155.4
116.4E6,156.7
116.7E6,158.1
117.0E6,159.4
117.3E6,160.8
117.6E6,162.2
117.9E6,163.6
118.2E6,165.0
118.5E6,166.4
118.8E6,167.9
119.1E6,169.4
119.4E6,170.9
119.7E6,172.4
120.0E6,174.0
120.3E6,175.5
120.6E6,177.1
120.9E6,178.7
121.2E6,180.4
121.5E6,182.1
121.8E6,183.8
122.1E6,185.5
122.4E6,187.2
122.7E6,189.0
123.0E6,190.8
123.3E6,192.6
123.6E6,194.5
123.9E6,196.4
124.2E6,198.3
124.5E6,200.3
124.8E6,202.3
125.1E6,204.3
125.4E6,206.3
125.7E6,208.4
126.0E6,210.6
126.3E6,212.7
126.6E6,214.9
126.9E6,217.2
127.2E6,219.4
127.5E6,221.8
127.8E6,224.1
128.1E6,226.5
128.4E6,229.0
128.7E6,231.5
129.0E6,234.1
129.3E6,236.6
129.6E6,239.3
129.9E6,242.0
130.2E6,244.7
130.5E6,247.6
130.8E6,250.4
131.1E6,253.3
131.4E6,256.3
131.7E6,259.4
132.0E6,262.5
132.3E6,265.6
132.6E6,268.9
132.9E6,272.2
133.2E6,275.6
133.5E6,279.0
133.8E6,282.6
134.1E6,286.2
134.4E6,289.9
134.7E6,293.7
135.0E6,297.5
135.3E6,301.5
135.6E6,305.6
135.9E6,309.7
136.2E6,314.0
136.5E6,318.3
136.8E6,322.8
137.1E6,327.4
137.4E6,332.1
137.7E6,336.9
138.0E6,341.9
138.3E6,346.9
138.6E6,352.2
138.9E6,357.5
139.2E6,363.0
139.5E6,368.7
139.8E6,374.5
140.1E6,380.5
140.4E6,386.7
140.7E6,393.0
141.0E6,399.5
141.3E6,406.3
141.6E6,413.2
141.9E6,420.4
142.2E6,427.8
142.5E6,435.4
142.8E6,443.2
143.1E6,451.4
143.4E6,459.8
143.7E6,468.4
144.0E6,477.4
144.3E6,486.7
144.6E6,496.3
144.9E6,506.3
145.2E6,516.6
145.5E6,527.3
145.8E6,538.4
146.1E6,550.0
146.4E6,562.0
146.7E6,574.4
147.0E6,587.4
147.3E6,600.8
147.6E6,614.8
147.9E6,629.4
148.2E6,644.7
148.5E6,660.5
148.8E6,677.1
149.1E6,694.4
149.4E6,712.4
149.7E6,731.3
150.0E6,751.0
150.3E6,771.6
150.6E6,793.2
150.9E6,815.7
151.2E6,839.3
151.5E6,864.1
151.8E6,889.9
152.1E6,917.0
152.4E6,945.4
152.7E6,975.0
153.0E6,1.006E3
153.3E6,1.038E3
153.6E6,1.072E3
153.9E6,1.107E3
154.2E6,1.143E3
154.5E6,1.181E3
154.8E6,1.220E3
155.1E6,1.260E3
155.4E6,1.300E3
155.7E6,1.341E3
156.0E6,1.383E3
156.3E6,1.423E3
156.6E6,1.464E3
156.9E6,1.502E3
157.2E6,1.538E3
157.5E6,1.572E3
157.8E6,1.601E3
158.1E6,1.626E3
158.4E6,1.646E3
158.7E6,1.660E3
159.0E6,1.667E3
159.3E6,1.668E3
159.6E6,1.663E3
159.9E6,1.651E3
160.2E6,1.633E3
160.5E6,1.610E3
160.8E6,1.583E3
161.1E6,1.551E3
161.4E6,1.517E3
161.7E6,1.480E3
162.0E6,1.442E3
162.3E6,1.403E3
162.6E6,1.363E3
162.9E6,1.324E3
163.2E6,1.285E3
163.5E6,1.247E3
163.8E6,1.209E3
164.1E6,1.173E3
164.4E6,1.138E3
164.7E6,1.104E3
165.0E6,1.071E3
165.3E6,1.040E3
165.6E6,1.010E3
165.9E6,981.0
166.2E6,953.4
166.5E6,927.1
166.8E6,901.9
167.1E6,877.8
167.4E6,854.8
167.7E6,832.8
168.0E6,811.7
168.3E6,791.6
168.6E6,772.4
168.9E6,753.9
169.2E6,736.3
169.5E6,719.4
169.8E6,703.2
170.1E6,687.6
170.4E6,672.7
170.7E6,658.4
171.0E6,644.7
171.3E6,631.4
171.6E6,618.7
171.9E6,606.5
172.2E6,594.8
172.5E6,583.4
172.8E6,572.5
173.1E6,562.0
173.4E6,551.8
173.7E6,542.0
174.0E6,532.6
174.3E6,523.4
174.6E6,514.6
174.9E6,506.0
175.2E6,497.8
175.5E6,489.8
175.8E6,482.0
176.1E6,474.5
176.4E6,467.2
176.7E6,460.2
177.0E6,453.4
177.3E6,446.7
177.6E6,440.3
177.9E6,434.0
178.2E6,427.9
178.5E6,422.0
178.8E6,416.3
179.1E6,410.7
179.4E6,405.2
179.7E6,400.0
180.0E6,394.8
180.3E6,389.8
180.6E6,384.9
180.9E6,380.1
181.2E6,375.5
181.5E6,371.0
181.8E6,366.5
182.1E6,362.2
182.4E6,358.0
182.7E6,353.9
183.0E6,349.9
183.3E6,346.0
183.6E6,342.2
183.9E6,338.4
184.2E6,334.8
184.5E6,331.2
184.8E6,327.7
185.1E6,324.3
185.4E6,321.0
185.7E6,317.7
186.0E6,314.5
186.3E6,311.3
186.6E6,308.3
186.9E6,305.3
187.2E6,302.3
187.5E6,299.4
187.8E6,296.6
188.1E6,293.8
188.4E6,291.1
188.7E6,288.4
189.0E6,285.8
189.3E6,283.2
189.6E6,280.7
189.9E6,278.3
190.2E6,275.8
190.5E6,273.4
190.8E6,271.1
191.1E6,268.8
191.4E6,266.6
191.7E6,264.3
192.0E6,262.2
192.3E6,260.0
192.6E6,257.9
192.9E6,255.9
193.2E6,253.8
193.5E6,251.8
193.8E6,249.9
194.1E6,247.9
194.4E6,246.0
194.7E6,244.2
195.0E6,242.3
195.3E6,240.5
195.6E6,238.7
195.9E6,237.0
196.2E6,235.3
196.5E6,233.6
196.8E6,231.9
197.1E6,230.2
197.4E6,228.6
197.7E6,227.0
198.0E6,225.4
198.3E6,223.9
198.6E6,222.4
198.9E6,220.9
199.2E6,219.4
199.5E6,217.9
199.8E6,216.5
200.1E6,215.1
200.4E6,213.6
200.7E6,212.3
201.0E6,210.9
201.3E6,209.6
201.6E6,208.2
201.9E6,206.9
202.2E6,205.6
202.5E6,204.4
202.8E6,203.1
203.1E6,201.9
203.4E6,200.7
203.7E6,199.4
204.0E6,198.3
204.3E6,197.1
204.6E6,195.9
204.9E6,194.8
205.2E6,193.6
205.5E6,192.5
205.8E6,191.4
206.1E6,190.3
206.4E6,189.3
206.7E6,188.2
207.0E6,187.1
207.3E6,186.1
207.6E6,185.1
207.9E6,184.1
208.2E6,183.1
208.5E6,182.1
208.8E6,181.1
209.1E6,180.1
209.4E6,179.2
209.7E6,178.2
210.0E6,177.3
210.3E6,176.4
210.6E6,175.5
210.9E6,174.6
211.2E6,173.7
211.5E6,172.8
211.8E6,171.9
212.1E6,171.1
212.4E6,170.2
212.7E6,169.4
213.0E6,168.5
213.3E6,167.7
213.6E6,166.9
